rank,feature,mean_abs_shap
1,RR_Mean_Global,0.01464474169256549
2,QRS_Count_Global,0.014161895324505513
3,HR_Ventr_Global,0.013571684852019513
4,HR_Atrial_Global,0.01336923086669623
5,HR__Global,0.012563076559973175
6,P_On_Global,0.006449846328350263
7,P-_Amp_aVL,0.006203486582671073
8,PR_Int_Global,0.0059508818956642805
9,P_AreaFull_aVR,0.0056707466870452436
10,P-_Dur_aVL,0.005586723546329419
11,P-_Dur_aVR,0.005416515420019591
12,P_AreaFull_V5,0.005295011662496634
13,P_Off_Global,0.0049885983372536455
14,P_Morph_II,0.004875324073202964
15,T_On_Global,0.004812967265717133
16,P_Amp_aVR,0.004628752900702624
17,P_Morph_I,0.004499385216992165
18,P_DurFull_I,0.004315997110923195
19,P_Morph_aVL,0.004102179436842434
20,T_Off_Global,0.0040693859255305645
21,QT_Int_Global,0.004011110760433671
22,S_Dur_I,0.003930219565935749
23,P_Morph_V1,0.0039060440397798873
24,P_Area_aVR,0.003709564646511495
25,P+_Dur_II,0.003700866606044402
26,P_Morph_V4,0.0036753160365659196
27,S_Amp_I,0.003309005398201033
28,P-_Amp_aVR,0.00329767329287623
29,S_Area_I,0.0032362718627720554
30,P_AreaFull_I,0.0032162505552626956
31,P_Found_Global,0.003115237137359577
32,QT_IntCorr_Global,0.003045876326377831
33,P_Dur_aVR,0.0030456497262327394
34,P_AreaFull_V4,0.0030454476444046743
35,P_AreaFull_II,0.002858232202726931
36,P_Amp_I,0.00272739026064427
37,Pp_Area_V1,0.0026466199591915936
38,QT_IntBazett_Global,0.0026452894914907456
39,T-_Amp_aVL,0.0025478330487038875
40,P_Amp_II,0.0025140218216081265
41,S_Area_II,0.0024591629527741018
42,P+_Dur_I,0.002453007514610877
43,P+_Amp_V2,0.002448942474434558
44,P_Area_aVL,0.0024385357330581003
45,P_Amp_aVL,0.002411849456107681
46,T_Morph_I,0.0023458543847166085
47,P_Morph_V3,0.0020731701726384687
48,Pp_Dur_aVL,0.002048967456704883
49,P+_Dur_V1,0.00201595379206783
50,P_Morph_V6,0.002008340389449185
51,T+_Dur_I,0.0019920760184569427
52,P_PeakTime_V4,0.0019466974889633206
53,P_Amp_V5,0.0019364190143558717
54,P+_Amp_V1,0.0018836265285368478
55,P_AreaFull_V3,0.0018814343568878099
56,T_Morph_aVL,0.0018697106806824272
57,P_PeakTime_I,0.0018563507284238181
58,P_Dur_I,0.001851584106055744
59,P_Area_I,0.0017901777781923758
60,P_Amp_V4,0.0017861306325050515
61,T_Morph_V1,0.00176155928288733
62,Pp_Amp_aVL,0.00175492916388628
63,T+_Dur_V6,0.0017450222409873364
64,T_DurFull_V2,0.0017327273293236884
65,P_AreaFull_V6,0.001708514403007002
66,Pp_PeakTime_aVL,0.001702000524923759
67,T_DurFull_V6,0.0016980292713789577
68,S_PeakTime_V6,0.0016788109192666279
69,Pp_Amp_V1,0.001656394293091254
70,P_OnsAmp_aVR,0.0016173569443005977
71,Pp_PeakTime_V1,0.001570979622212222
72,S_PeakTime_I,0.00150833640073576
73,Q_PeakTime_V6,0.0014876515185860261
74,Rp_Area_aVR,0.0014757148723174294
75,Pp_Area_III,0.0014656194391758368
76,P_Amp_V3,0.0014547570548969788
77,P_PeakTime_V2,0.0014528536136146151
78,P_PeakTime_aVR,0.0014389583473284413
